,"Principles of Real Estate Practice in Florida, 2nd Edition Final Exams Question Database 8-10-23",,,,,,
,,,,,,,
Book Name,Question #,Question Stem,Answer A,Answer B,Answer C,Answer D,Correct Answer
,Final Exam #1,,,,,,
Principles of Real Estate Practice in Florida,1.1,"Cuando un copropietario fallece, ¿qué sucede con el interés del inquilino en el patrimonio? ","Pasa a los herederos del difunto, que se convierten en copropietarios ",Pasa como un arrendamiento en común a los herederos del difunto ,La tenencia conjunta termina y se convierte en una tenencia en común con los herederos del difunto y los inquilinos sobrevivientes como copropietarios ,Pasa a los copropietarios sobrevivientes ,D
Principles of Real Estate Practice in Florida,1.2,¿Cuál de los siguientes NO es necesario al registrar una transferencia de bienes raíces en Florida? ,Firma notarial ,Firma del testigo ,Número de parcela de propiedad válido ,Declaración jurada de propiedad ,C 
Principles of Real Estate Practice in Florida,1.3,¿En qué tipo de servidumbre hay un conventillo dominante y un conventillo sirviente? ,Una servidumbre en bruto ,Una servidumbre comercial ,Una servidumbre personal ,Una servidumbre accesoria ,D
Principles of Real Estate Practice in Florida,1.4,Un tribunal puede conceder una servidumbre por prescripción si: ,"Un municipio necesita cavar una zanja a través de la propiedad de un propietario para instalar una línea de alcantarillado a una propiedad vecina, y el propietario niega el permiso ",El dueño de una propiedad vende la mitad delantera de un lote y quiere continuar usando el camino de entrada para llegar a la parte trasera del lote ,Un individuo ha estado usando la propiedad de otro como servidumbre durante el período de tiempo prescrito sin interrupción y sin el permiso del propietario ,El dueño de una propiedad quiere evitar que el dueño de una propiedad contigua construya una adición en el segundo piso que bloquee la luz del sol a su jardín de rosas ,C 
Principles of Real Estate Practice in Florida,1.5,Un gravamen es un ,deuda contraída por el dueño de una propiedad ,Pagaré otorgado por el propietario de un inmueble como garantía de una deuda ,Crédito del acreedor contra la propiedad como garantía de una deuda del propietario de la propiedad ,documento que crea una servidumbre ,C 
Principles of Real Estate Practice in Florida,1.6,¿Cuál de las siguientes opciones caracteriza mejor a una Escritura de Comité? ,Un documento de seguro creado para asegurar un instrumento hipotecario ,Una forma de escritura que transfiere el título a un comité de ejecución hipotecaria ejecutado por una parte incompetente ,Un documento de traspaso para las partes incompetentes ejecutado por un grupo de miembros del comité ordenado por el tribunal ,El instrumento diseñado para su uso como documento de traspaso en una venta corta ,C 
Principles of Real Estate Practice in Florida,1.7,El financiamiento hipotecario es la práctica de ,Compra y venta de hipotecas como vehículo de inversión ,Prestar dinero a inversores inmobiliarios para financiar la compra de hipotecas ,Usar fondos prestados garantizados por una hipoteca o escritura de fideicomiso para comprar bienes raíces ,Obtención de un título equitativo de bienes inmuebles mediante la compra de pagarés ,C 
Principles of Real Estate Practice in Florida,1.8,¿Cuál es la función de un pagaré en un acuerdo de financiamiento de hipoteca o escritura fiduciaria? ,Es evidencia del interés del prestamista en la propiedad colateral ,Es evidencia de la propiedad de la hipoteca o escritura de fideicomiso ,Contiene la promesa del prestatario de mantener el valor de la propiedad dada como garantía de un préstamo ,Es evidencia de la deuda del prestatario con el prestamista ,D
Principles of Real Estate Practice in Florida,1.9,"Si un prestatario obtiene un préstamo de solo intereses de $75,000 a una tasa de interés anual del 8%, ¿cuál es el pago mensual de intereses? ",$720 ,$625 ,$42 ,$500 ,D
Principles of Real Estate Practice in Florida,1.10,¿Cuál de las siguientes afirmaciones es cierta para un préstamo amortizable? ,El monto de los intereses anuales pagados es el mismo para cada año del plazo del préstamo ,Una parte de cada pago periódico se destina al reembolso anticipado del saldo del préstamo y otra parte al pago de intereses atrasados ,"A excepción de los puntos que se puedan pagar, los intereses sobre el saldo del préstamo generalmente se pagan por adelantado ",La tasa de interés se reduce cada año para mantener pagos iguales a pesar de que el saldo pendiente del préstamo es menor ,B
Principles of Real Estate Practice in Florida,1.11,"La industria de bienes raíces está regulada por leyes federales, estatales y locales, así como por ",sus propios códigos de ética profesional ,la Cámara de Comercio local ,la Agencia de Protección al Consumidor ,el Better Business Bureau ,A
Principles of Real Estate Practice in Florida,1.12,¿Cuánto tiempo es válida una solicitud inicial de licencia? ,60 días a partir de la fecha en que fue recibido por el DBPR ,90 días a partir de la fecha en que fue recibido por el DBPR ,1 año a partir de la fecha en que fue recibido por el DBPR ,2 años a partir de la fecha en que fue recibido por el DBPR ,D
Principles of Real Estate Practice in Florida,1.13,¿Cuál de las siguientes afirmaciones es verdadera con respecto a los requisitos de licencia de asociado de ventas? ,Los solicitantes deben completar 72 horas de educación previa a la licencia ,Los solicitantes deben aprobar el examen de fin de curso con una puntuación del 75%. ,Los solicitantes deben imprimir su propio certificado de finalización del curso ,Los solicitantes pueden completar el curso de educación previa a la licencia a través de la educación a distancia ,D
Principles of Real Estate Practice in Florida,1.14,Un solicitante debe tomar y aprobar el examen de licencia estatal dentro de _____ de completar la educación previa a la licencia ,90 días ,1 año ,2 años ,De 30 días a 1 año ,C 
Principles of Real Estate Practice in Florida,1.15,"Si un solicitante de una licencia de corredor ha sido licenciado como asociado de ventas de Florida durante los 5 años anteriores, ",El solicitante debe completar el curso posterior a la licencia de asociado de ventas antes de solicitar la licencia de corredor ,El solicitante no está obligado a completar la educación previa a la licencia de corredor ,El solicitante no está obligado a tomar el examen de licencia estatal ,Se exime de la tarifa de licencia de corredor del solicitante ,A
Principles of Real Estate Practice in Florida,1.16,Los registros de la cuenta de depósito en garantía deben mantenerse durante ,No más de 3 años ,al menos 2 años ,por lo menos 5 años ,7 años ,C 
Principles of Real Estate Practice in Florida,1.17,"Si los fondos de garantía se colocan en una cuenta que devenga intereses, ¿a quién se deben pagar los intereses? ",El vendedor ,El comprador ,El titular de la cuenta ,A quien todas las partes acuerden ,D
Principles of Real Estate Practice in Florida,1.18,"Si hay un conflicto sobre el desembolso del fondo de custodia, ¿cuál es el primer paso que debe tomar el corredor? ",Iniciar la mediación ,Notificar a la FREC ,Notificar a la compañía de títulos ,Iniciar un litigio con una acción de interpelación ,B
